fecha,hora,num_transacciones,num_usuarios_activos,tiempo_promedio_procesamiento,tiempo_mediano_procesamiento,tiempo_p95_procesamiento,tiempo_max_procesamiento,volumen_total_usd,volumen_promedio_usd,comisiones_totales_usd,num_transacciones_exitosas,num_transacciones_fallidas,tasa_error,num_compra,num_retiro,num_swap,num_venta,num_validaciones_manuales,tasa_validacion_manual,num_fraudes,tasa_fraude
2024-07-01,0,1,1,77.0,77.0,77.0,77,6755.18,6755.18,33.78,1.0,0.0,0.0,0,0,0,1,1.0,100.0,0.0,0.0
2024-07-01,1,4,4,27.75,21.0,54.19999999999999,59,13913.660000000002,3478.4150000000004,69.57,4.0,0.0,0.0,3,0,0,1,1.0,25.0,0.0,0.0
2024-07-01,2,1,1,50.0,50.0,50.0,50,4902.24,4902.24,24.51,1.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0
2024-07-01,3,3,3,44.666666666666664,35.0,62.9,66,1066.52,355.50666666666666,5.33,3.0,0.0,0.0,1,1,0,1,0.0,0.0,0.0,0.0
2024-07-01,4,3,3,53.666666666666664,37.0,97.3,104,8869.23,2956.41,44.339999999999996,2.0,1.0,33.33,1,0,0,2,1.0,33.33,2.0,66.67
2024-07-01,5,2,2,71.5,71.5,94.45,97,609.4399999999999,304.71999999999997,3.0500000000000003,2.0,0.0,0.0,1,0,0,1,0.0,0.0,1.0,50.0
2024-07-01,6,3,3,45.0,61.0,63.7,64,2982.36,994.12,14.91,3.0,0.0,0.0,1,1,1,0,0.0,0.0,0.0,0.0
2024-07-01,7,2,2,75.0,75.0,133.5,140,13006.09,6503.045,65.03,2.0,0.0,0.0,0,0,1,1,1.0,50.0,1.0,50.0
2024-07-01,8,2,2,45.0,45.0,61.199999999999996,63,6677.65,3338.825,33.39,2.0,0.0,0.0,0,0,1,1,0.0,0.0,1.0,50.0
2024-07-01,9,2,2,30.5,30.5,38.15,39,4724.76,2362.38,23.619999999999997,1.0,1.0,50.0,1,0,0,1,0.0,0.0,0.0,0.0
2024-07-01,10,1,1,28.0,28.0,28.0,28,285.92,285.92,1.43,1.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0
2024-07-01,11,7,7,78.28571428571429,72.0,151.59999999999994,175,18698.56,2671.2228571428573,93.49000000000001,7.0,0.0,0.0,4,0,1,2,1.0,14.29,2.0,28.57
2024-07-01,12,1,1,24.0,24.0,24.0,24,4294.33,4294.33,21.47,1.0,0.0,0.0,1,0,0,0,0.0,0.0,1.0,100.0
2024-07-01,13,2,2,66.5,66.5,110.14999999999999,115,20200.38,10100.19,101.0,2.0,0.0,0.0,1,0,1,0,1.0,50.0,0.0,0.0
2024-07-01,14,7,7,55.142857142857146,36.0,111.59999999999998,120,27586.68,3940.9542857142856,137.93,7.0,0.0,0.0,1,2,1,3,2.0,28.57,1.0,14.29
2024-07-01,16,4,4,33.0,36.0,37.7,38,2296.81,574.2025,11.48,4.0,0.0,0.0,2,1,1,0,0.0,0.0,1.0,25.0
2024-07-01,17,8,8,49.375,38.5,100.34999999999998,114,38143.19,4767.89875,190.71,7.0,1.0,12.5,2,0,3,3,2.0,25.0,1.0,12.5
